date,max_temper,min_temper,rainfall,snow_depth
2019-08-11,35,26,4,0
2019-08-12,31,26,9,0
2019-08-13,34,25,0,0
2019-08-14,36,24,0,0
2019-08-15,32,23,7,0
2019-08-16,32,22,1,0
2019-08-17,33,21,1,0
2019-08-18,31,23,0,0
2019-08-19,32,22,0,0
2019-08-20,32,23,0,0
2019-08-21,32,24,0,0
2019-08-22,31,24,14,0
2019-08-23,32,23,23,0
2019-08-24,31,24,0,0
2019-08-25,28,24,4,0
2019-08-26,30,24,10,0
2019-08-27,29,23,24,0
2019-08-28,29,23,23,0
2019-08-29,29,23,18,0
2019-08-30,29,23,0,0
2019-08-31,30,22,0,0
2019-09-01,29,22,0,0
2019-09-02,29,22,0,0
2019-09-03,29,22,4,0
2019-09-04,29,22,4,0
2019-09-05,29,22,1,0
2019-09-06,28,22,0,0
2019-09-07,29,21,0,0
2019-09-08,26,17,0,0
2019-09-09,26,17,0,0
2019-09-10,26,17,0,0
2019-09-11,26,17,0,0
2019-09-12,25,17,1,0
2019-09-13,25,17,16,0
2019-09-14,25,18,5,0
2019-09-15,24,16,27,0
2019-09-16,25,16,8,0
2019-09-17,24,16,0,0
2019-09-18,26,16,0,0
2019-09-19,25,15,0,0
2019-09-20,26,17,0,0
2019-09-21,26,17,0,0
2019-09-22,24,15,3,0
2019-09-23,24,17,4,0
2019-09-24,25,14,0,0
2019-09-25,26,15,0,0
2019-09-26,26,13,0,0
2019-09-27,25,16,0,0
2019-09-28,25,12,0,0
2019-09-29,22,12,0,0
2019-09-30,22,13,0,0
